Latitud_RX,Longitud_RX,Latitud_TX,Longitud_TX,Item_conta,RSSI_RX,SNR_RX,Distancia_to_TX,Azimuth_to_TX,Fecha(UTC)
0.000000,0.000000,0.000000,0.000000,-100,-164,0.00,0,0.00,
-0.227063,-78.457245,0.000000,0.000000,-100,-164,0.00,-1,-1.00,
-0.227025,-78.457253,0.000000,0.000000,-100,-164,0.00,-1,-1.00,
-0.227026,-78.457245,0.000000,0.000000,-100,-164,0.00,-1,-1.00,
-0.227036,-78.457260,0.000000,0.000000,-100,-164,0.00,-1,-1.00,
-0.227034,-78.457253,0.000000,0.000000,-100,-164,0.00,-1,-1.00,
-0.227035,-78.457237,0.000000,0.000000,-100,-164,0.00,-1,-1.00,
-0.227038,-78.457237,0.000000,0.000000,-100,-164,0.00,-1,-1.00,
-0.227058,-78.457207,0.000000,0.000000,-100,-164,0.00,-1,-1.00,
-0.227055,-78.457184,0.000000,0.000000,-100,-164,0.00,-1,-1.00,
-0.227055,-78.457176,0.000000,0.000000,-100,-164,0.00,-1,-1.00,
-0.227055,-78.457169,0.000000,0.000000,-100,-164,0.00,-1,-1.00,
-0.227058,-78.457169,0.000000,0.000000,-100,-164,0.00,-1,-1.00,
-0.227061,-78.457176,0.000000,0.000000,-100,-164,0.00,-1,-1.00,
-0.227057,-78.457176,0.000000,0.000000,-100,-164,0.00,-1,-1.00,
-0.227041,-78.457161,0.000000,0.000000,-100,-164,0.00,-1,-1.00,
-0.227054,-78.457153,0.000000,0.000000,-100,-164,0.00,-1,-1.00,
-0.227060,-78.457153,0.000000,0.000000,-100,-164,0.00,-1,-1.00,
-0.227059,-78.457153,0.000000,0.000000,-100,-164,0.00,-1,-1.00,
-0.227057,-78.457146,0.000000,0.000000,-100,-164,0.00,-1,-1.00,
-0.227041,-78.457024,-0.226712,-78.456268,3,-94,-15.25,91,66.46,
-0.227043,-78.457024,-0.226712,-78.456268,3,-94,-15.25,91,66.34,
-0.227043,-78.457031,-0.226712,-78.456268,3,-94,-15.25,92,66.55,
-0.227045,-78.457031,-0.226712,-78.456268,3,-96,-24.00,92,66.42,
-0.227047,-78.457031,-0.226712,-78.456268,3,-96,-24.00,92,66.30,
-0.227045,-78.457031,-0.226712,-78.456268,3,-96,-24.00,92,66.42,
-0.227047,-78.457031,-0.226712,-78.456268,3,-96,-24.00,92,66.30,
-0.227051,-78.457039,-0.226712,-78.456268,3,-96,-24.00,93,66.25,
-0.227052,-78.457031,-0.226712,-78.456268,3,-86,-23.50,92,65.98,
-0.227056,-78.457031,-0.226712,-78.456268,3,-86,-23.50,93,65.73,
-0.227055,-78.457031,-0.226712,-78.456268,3,-86,-23.50,93,65.79,
-0.227057,-78.457031,-0.226712,-78.456268,3,-86,-23.50,93,65.67,
-0.227061,-78.457031,-0.226712,-78.456268,3,-86,-23.50,93,65.42,
-0.227066,-78.457031,-0.226712,-78.456268,3,-86,-23.50,93,65.11,
-0.227075,-78.457008,-0.226712,-78.456268,3,-88,-23.00,91,63.87,
-0.227070,-78.457001,-0.226712,-78.456268,3,-88,-23.00,90,63.95,
-0.227075,-78.457001,-0.226712,-78.456268,3,-88,-23.00,90,63.64,
-0.227085,-78.457008,-0.226712,-78.456268,3,-88,-23.00,92,63.25,
-0.227085,-78.457008,-0.226712,-78.456268,3,-88,-23.00,92,63.25,
-0.227085,-78.457008,-0.226712,-78.456268,3,-88,-23.00,92,63.25,
-0.227110,-78.456856,-0.226724,-78.456291,1,-94,-20.75,76,55.64,
-0.227117,-78.456863,-0.226724,-78.456291,1,-94,-20.75,77,55.52,
-0.227122,-78.456863,-0.226724,-78.456291,1,-94,-20.75,77,55.18,
-0.227127,-78.456863,-0.226724,-78.456291,1,-94,-20.75,77,54.84,
-0.227137,-78.456841,-0.226724,-78.456291,1,-94,-20.75,76,53.06,
-0.227136,-78.456825,-0.226724,-78.456291,1,-94,-20.75,75,52.35,
-0.227143,-78.456818,-0.226724,-78.456291,1,-94,-20.75,74,51.48,
-0.227153,-78.456818,-0.226724,-78.456291,1,-94,-20.75,75,50.82,
-0.227161,-78.456818,-0.226724,-78.456291,1,-94,-20.75,76,50.30,
-0.227180,-78.456818,-0.226724,-78.456291,1,-94,-20.75,77,49.10,
-0.227187,-78.456818,-0.226724,-78.456291,1,-94,-20.75,77,48.67,
-0.227204,-78.456818,-0.226724,-78.456291,1,-92,-24.00,79,47.64,
-0.227214,-78.456818,-0.226724,-78.456291,1,-92,-24.00,79,47.05,
-0.227217,-78.456810,-0.226724,-78.456291,1,-92,-24.00,79,46.46,
-0.227219,-78.456802,-0.226724,-78.456291,1,-92,-24.00,79,45.92,
-0.227226,-78.456802,-0.226724,-78.456291,1,-92,-24.00,79,45.52,
-0.227232,-78.456795,-0.226724,-78.456291,1,-92,-24.00,79,44.75,
-0.227237,-78.456787,-0.226724,-78.456291,1,-92,-24.00,79,44.03,
-0.227234,-78.456787,-0.226724,-78.456291,1,-92,-24.00,79,44.20,
-0.227232,-78.456787,-0.226724,-78.456291,1,-92,-24.00,78,44.31,
-0.227187,-78.456772,-0.226732,-78.456291,3,-95,-18.75,73,46.57,
-0.227186,-78.456764,-0.226732,-78.456291,3,-95,-18.75,72,46.18,
-0.227186,-78.456757,-0.226732,-78.456291,3,-95,-18.75,72,45.71,
-0.227185,-78.456749,-0.226732,-78.456291,3,-95,-18.75,71,45.30,
-0.227185,-78.456749,-0.226732,-78.456291,3,-95,-18.75,71,45.30,
-0.227185,-78.456749,-0.226732,-78.456291,3,-95,-18.75,71,45.30,
-0.227184,-78.456749,-0.226732,-78.456291,3,-95,-18.75,71,45.36,
-0.227184,-78.456749,-0.226732,-78.456291,3,-95,-18.75,71,45.36,
-0.227182,-78.456749,-0.226732,-78.456291,3,-95,-18.75,71,45.49,
-0.227181,-78.456749,-0.226732,-78.456291,3,-95,-18.75,71,45.55,
-0.227181,-78.456749,-0.226732,-78.456291,3,-95,-18.75,71,45.55,
-0.227180,-78.456749,-0.226732,-78.456291,3,-95,-18.75,71,45.62,
-0.227180,-78.456749,-0.226732,-78.456291,3,-95,-18.75,71,45.62,
-0.227179,-78.456749,-0.226732,-78.456291,3,-95,-18.75,71,45.68,
-0.227178,-78.456749,-0.226732,-78.456291,3,-95,-18.75,71,45.74,
-0.227179,-78.456749,-0.226732,-78.456291,3,-95,-18.75,71,45.68,
-0.227200,-78.456772,-0.226732,-78.456291,3,-95,-18.75,74,45.76,
-0.227183,-78.456772,-0.226732,-78.456291,3,-95,-18.75,73,46.82,
-0.227177,-78.456764,-0.226732,-78.456291,3,-95,-18.75,72,46.75,
-0.227176,-78.456764,-0.226732,-78.456291,3,-95,-18.75,72,46.81,
-0.227155,-78.456650,-0.226725,-78.456268,4,-95,-14.75,63,41.58,
-0.227154,-78.456650,-0.226725,-78.456268,4,-95,-14.75,63,41.64,
-0.227156,-78.456642,-0.226725,-78.456268,4,-95,-17.75,63,40.94,
-0.227157,-78.456642,-0.226720,-78.456261,2,-95,-17.75,64,41.12,
-0.227159,-78.456635,-0.226720,-78.456261,2,-95,-17.75,64,40.42,
-0.227161,-78.456627,-0.226720,-78.456261,2,-95,-17.75,63,39.71,
-0.227162,-78.456619,-0.226720,-78.456261,2,-95,-17.75,63,39.05,
-0.227164,-78.456612,-0.226720,-78.456261,2,-85,-17.50,62,38.32,
-0.227167,-78.456596,-0.226720,-78.456261,2,-85,-17.50,62,36.91,
-0.227171,-78.456589,-0.226720,-78.456261,2,-85,-17.50,62,36.03,
-0.227174,-78.456581,-0.226720,-78.456261,2,-85,-17.50,61,35.21,
-0.227176,-78.456573,-0.226720,-78.456261,2,-85,-17.50,61,34.45,
-0.227177,-78.456566,-0.226720,-78.456261,2,-85,-17.50,61,33.73,
-0.227175,-78.456558,-0.226720,-78.456261,2,-91,-16.75,60,33.18,
-0.227170,-78.456551,-0.226720,-78.456261,2,-91,-16.75,59,32.79,
-0.227160,-78.456543,-0.226720,-78.456261,2,-98,-11.25,58,32.68,
-0.227156,-78.456535,-0.226715,-78.456268,2,-98,-11.25,57,31.20,
-0.227153,-78.456528,-0.226715,-78.456268,2,-98,-11.25,56,30.63,
-0.227151,-78.456520,-0.226715,-78.456268,2,-98,-11.25,56,30.00,
-0.227148,-78.456512,-0.226715,-78.456268,2,-98,-11.25,55,29.42,
-0.227143,-78.456505,-0.226715,-78.456268,2,-95,-9.50,54,28.92,
-0.227140,-78.456497,-0.226720,-78.456268,4,-95,-9.50,53,28.59,
-0.227134,-78.456482,-0.226720,-78.456268,4,-95,-9.50,51,27.29,
-0.227134,-78.456474,-0.226720,-78.456268,4,-95,-9.50,51,26.45,
-0.227134,-78.456474,-0.226720,-78.456268,4,-95,-9.50,51,26.45,
-0.227133,-78.456474,-0.226720,-78.456268,4,-95,-9.50,51,26.51,
-0.227133,-78.456474,-0.226720,-78.456268,4,-95,-9.50,51,26.51,
-0.227133,-78.456474,-0.226720,-78.456268,4,-95,-9.50,51,26.51,
-0.227133,-78.456474,-0.226720,-78.456268,4,-95,-9.50,51,26.51,
-0.227134,-78.456474,-0.226720,-78.456268,4,-95,-9.50,51,26.45,
-0.227134,-78.456474,-0.226720,-78.456268,4,-95,-9.50,51,26.45,
-0.227134,-78.456474,-0.226720,-78.456268,4,-88,-22.50,51,26.45,
-0.227131,-78.456474,-0.226720,-78.456268,4,-88,-22.50,51,26.62,
-0.227127,-78.456474,-0.226720,-78.456268,4,-88,-22.50,50,26.84,
-0.227122,-78.456474,-0.226720,-78.456268,4,-88,-22.50,50,27.13,
-0.227119,-78.456474,-0.226720,-78.456268,4,-88,-22.50,49,27.31,
-0.227110,-78.456490,-0.226720,-78.456268,4,-88,-22.50,49,29.57,
-0.227105,-78.456490,-0.226720,-78.456268,4,-88,-22.50,49,29.88,
-0.227101,-78.456497,-0.226720,-78.456268,4,-94,-8.50,49,31.00,
-0.227097,-78.456497,-0.226720,-78.456291,1,-94,-8.50,47,28.65,
-0.227093,-78.456505,-0.226720,-78.456291,1,-94,-8.50,47,29.80,
-0.227087,-78.456512,-0.226720,-78.456291,1,-94,-8.50,47,31.08,
-0.227080,-78.456512,-0.226720,-78.456291,1,-94,-8.50,47,31.57,
-0.227069,-78.456512,-0.226720,-78.456291,1,-97,-14.50,45,32.37,
-0.227064,-78.456512,-0.226720,-78.456291,1,-97,-14.50,45,32.75,
-0.227058,-78.456512,-0.226720,-78.456291,1,-97,-14.50,44,33.21,
-0.227053,-78.456520,-0.226720,-78.456291,1,-97,-14.50,44,34.50,
-0.227045,-78.456520,-0.226720,-78.456291,1,-97,-14.50,44,35.15,
-0.227039,-78.456528,-0.226720,-78.456291,1,-92,-7.00,44,36.55,
-0.227036,-78.456535,-0.226714,-78.456291,5,-92,-7.00,44,37.17,
-0.227025,-78.456543,-0.226714,-78.456291,5,-92,-7.00,44,38.99,
-0.227018,-78.456535,-0.226714,-78.456291,5,-95,-6.75,43,38.77,
-0.227011,-78.456543,-0.226714,-78.456291,5,-95,-6.75,43,40.29,
-0.227006,-78.456543,-0.226714,-78.456291,5,-95,-6.75,42,40.77,
-0.227005,-78.456535,-0.226714,-78.456291,5,-95,-6.75,42,40.00,
-0.227002,-78.456528,-0.226714,-78.456291,5,-95,-6.75,41,39.39,
-0.227002,-78.456520,-0.226714,-78.456291,5,-95,-6.75,40,38.47,
-0.227004,-78.456512,-0.226714,-78.456291,5,-95,-6.75,40,37.34,
-0.227003,-78.456512,-0.226714,-78.456291,5,-95,-6.75,40,37.44,
-0.227001,-78.456505,-0.226714,-78.456291,5,-95,-18.75,39,36.66,
-0.227001,-78.456497,-0.226714,-78.456291,5,-95,-18.75,39,35.67,
-0.227001,-78.456497,-0.226714,-78.456291,5,-96,-12.25,39,35.67,
-0.227000,-78.456497,-0.226723,-78.456276,5,-96,-12.25,39,38.62,
-0.227001,-78.456490,-0.226723,-78.456276,5,-96,-12.25,38,37.54,
-0.227001,-78.456482,-0.226723,-78.456276,5,-94,-1.75,38,36.54,
-0.227000,-78.456482,-0.226723,-78.456276,5,-94,-1.75,38,36.64,
-0.226997,-78.456474,-0.226723,-78.456276,5,-93,-2.50,37,35.90,
-0.226995,-78.456467,-0.226725,-78.456284,2,-93,-2.50,36,34.14,
-0.226993,-78.456459,-0.226725,-78.456284,2,-93,-2.50,35,33.22,
-0.226991,-78.456459,-0.226725,-78.456284,2,-94,-2.25,35,33.41,
-0.226988,-78.456459,-0.226728,-78.456276,3,-94,-2.25,35,35.16,
-0.226987,-78.456451,-0.226728,-78.456276,3,-94,-2.25,34,34.12,
-0.226986,-78.456451,-0.226725,-78.456276,4,-86,-12.25,34,33.92,
-0.226982,-78.456451,-0.226725,-78.456276,4,-86,-12.25,34,34.33,
-0.226976,-78.456444,-0.226725,-78.456276,4,-86,-12.25,33,33.77,
-0.226971,-78.456444,-0.226725,-78.456276,4,-86,-12.25,33,34.31,
-0.226966,-78.456436,-0.226725,-78.456276,4,-86,-12.25,32,33.62,
-0.226964,-78.456436,-0.226725,-78.456276,4,-86,-12.25,32,33.84,
-0.226966,-78.456436,-0.226725,-78.456276,4,-86,-12.25,32,33.62,
-0.226967,-78.456436,-0.226725,-78.456276,4,-86,-12.25,32,33.51,
-0.226966,-78.456436,-0.226725,-78.456276,4,-86,-12.25,32,33.62,
-0.226961,-78.456429,-0.226725,-78.456276,4,-86,-12.25,31,32.89,
-0.226952,-78.456421,-0.226725,-78.456276,4,-86,-12.25,29,32.56,
-0.226941,-78.456421,-0.226725,-78.456276,4,-86,-12.25,28,33.87,
-0.226917,-78.456413,-0.226725,-78.456276,4,-95,-2.75,26,35.58,
-0.226905,-78.456406,-0.226726,-78.456284,4,-95,-2.75,24,34.29,
-0.226893,-78.456406,-0.226726,-78.456284,4,-95,-2.75,23,36.17,
-0.226882,-78.456398,-0.226726,-78.456284,4,-95,-3.00,21,36.26,
-0.226870,-78.456390,-0.226725,-78.456284,5,-95,-3.00,20,36.38,
