Contador_TX,Numero_dato,RSSI,SNR
100002,100002,-106,-14.50
100004,100019,-100,-14.50
100002,100022,-99,-12.00
100003,100023,-101,-14.50
100004,100024,-103,-14.50
100005,100025,-104,-16.00
100001,100026,-100,-14.75
100001,100056,-99,-17.25
100002,100057,-99,-15.00
100004,100059,-99,-17.00
100005,100060,-99,-16.00
100001,100101,-100,-12.25
100002,100102,-100,-12.75
100005,100105,-101,-14.25
100001,100106,-101,-14.75
100005,100110,-100,-13.25
100002,100112,-99,-13.75
100002,100122,-102,-14.00
100003,100148,-100,-11.50
100004,100149,-102,-12.00
100005,100150,-99,-11.25
100001,100151,-98,-11.50
100002,100152,-99,-10.50
100003,100153,-103,-12.75
100004,100154,-102,-13.25
100005,100155,-104,-13.00
100001,100156,-103,-13.25
100002,100157,-105,-12.75
100003,100158,-100,-13.00
100004,100159,-101,-13.25
100005,100160,-103,-13.25
100001,100161,-104,-13.50
100002,100162,-102,-12.50
100003,100163,-105,-12.75
100004,100164,-103,-12.00
100005,100165,-103,-13.75
100001,100166,-103,-13.00
100002,100167,-101,-12.75
100004,100169,-102,-13.00
100005,100170,-102,-12.50
100001,100171,-103,-12.75
100002,100172,-100,-11.00
100003,100173,-100,-13.75
100004,100174,-101,-13.25
100005,100175,-101,-11.75
100001,100176,-103,-13.00
100002,100177,-99,-11.75
100003,100178,-101,-11.50
100004,100179,-104,-13.00
100005,100180,-104,-12.75
100001,100181,-103,-11.75
100003,100183,-101,-11.75
100004,100184,-101,-12.75
100005,100185,-104,-10.75
100001,100186,-101,-10.75
100002,100187,-105,-12.00
100003,100188,-102,-10.00
100004,100189,-103,-9.75
100005,100190,-103,-10.50
100001,100191,-103,-10.50
100002,100192,-102,-9.50
100003,100193,-102,-9.50
100004,100194,-102,-9.50
100005,100195,-101,-9.75
100001,100196,-101,-9.75
100002,100197,-102,-10.75
100003,100198,-103,-10.25
100004,100199,-104,-10.75
100005,100200,-102,-9.75
100001,100201,-102,-10.50
100002,100202,-103,-11.00
100003,100203,-103,-10.25
100004,100204,-103,-10.00
100005,100205,-104,-10.50
100001,100206,-101,-11.25
100002,100207,-101,-12.75
100003,100208,-103,-12.25
100004,100209,-102,-11.50
100005,100210,-104,-12.75
100001,100211,-101,-12.75
100002,100212,-102,-14.25
100003,100213,-105,-13.25
100004,100214,-104,-10.00
100001,100216,-99,-11.00
100002,100217,-102,-10.25
100003,100218,-105,-11.00
100004,100219,-104,-10.50
100005,100220,-102,-9.25
100001,100221,-101,-9.75
100002,100222,-101,-9.75
100003,100223,-101,-9.25
100004,100224,-102,-9.50
100005,100225,-102,-9.75
100001,100226,-103,-9.75
100002,100227,-103,-9.50
100003,100228,-102,-9.00
100004,100229,-104,-10.25
100005,100230,-103,-9.00
100001,100231,-102,-9.75
100002,100232,-102,-9.75
100003,100233,-102,-9.50
100004,100234,-102,-8.50
100005,100235,-102,-9.50
100001,100236,-101,-9.75
100002,100237,-100,-9.50
